externalId,title,meetingType,heldOn,assemblyLevel,prefecture,municipality,sourceUrl,rawText
121305254X01520240329_000,衆議院 本会議,plenary,2024-03-29,national,,,https://kokkai.ndl.go.jp/txt/121305254X01520240329/0,"令和六年三月二十九日（金曜日）
　　　　―――――――――――――
　議事日程　第九号
　　令和六年三月二十九日
　　　　午後一時開議
　第一　地域再生法の一部を改正する法律案（内閣提出）
　第二　生活困窮者自立支援法等の一部を改正する法律案（内閣提出）
　第三　令和六年能登半島地震災害に係る住宅再建支援等給付金に係る差押禁止等に関する法律案（厚生労働委員長提出）
　　　　―――――――――――――
○本日の会議に付した案件
　国立国会図書館長の任命承認の件
　日程第一　地域再生法の一部を改正する法律案（内閣提出）
　日程第二　生活困窮者自立支援法等の一部を改正する法律案（内閣提出）
　日程第三　令和六年能登半島地震災害に係る住宅再建支援等給付金に係る差押禁止等に関する法律案（厚生労働委員長提出）
　雇用保険法等の一部を改正する法律案（内閣提出）の趣旨説明及び質疑
　　　　午後一時二分開議"
121305254X01520240329_001,衆議院 本会議,plenary,2024-03-29,national,,,https://kokkai.ndl.go.jp/txt/121305254X01520240329/1,"○議長（額賀福志郎君）　これより会議を開きます。
　　　　　――――◇―――――
　国立国会図書館長の任命承認の件"
121305254X01520240329_002,衆議院 本会議,plenary,2024-03-29,national,,,https://kokkai.ndl.go.jp/txt/121305254X01520240329/2,"○議長（額賀福志郎君）　お諮りいたします。
　国立国会図書館長に倉田敬子君を両議院の議長において任命いたしたいと存じます。倉田敬子君の任命を承認するに御異議ありませんか。
　　　　〔「異議なし」と呼ぶ者あり〕"
121305254X01520240329_003,衆議院 本会議,plenary,2024-03-29,national,,,https://kokkai.ndl.go.jp/txt/121305254X01520240329/3,"○議長（額賀福志郎君）　御異議なしと認めます。よって、承認することに決まりました。
　　　　　――――◇―――――
　日程第一　地域再生法の一部を改正する法律案（内閣提出）"
121305254X01520240329_004,衆議院 本会議,plenary,2024-03-29,national,,,https://kokkai.ndl.go.jp/txt/121305254X01520240329/4,"○議長（額賀福志郎君）　日程第一、地域再生法の一部を改正する法律案を議題といたします。
　委員長の報告を求めます。地域活性化・こども政策・デジタル社会形成に関する特別委員長谷公一君。
　　　　―――――――――――――
　地域再生法の一部を改正する法律案及び同報告書
　　　　〔本号末尾に掲載〕
　　　　―――――――――――――
　　　　〔谷公一君登壇〕"
